lat;lon;ele;time;temperature;distance;velocity;acceleration;incline;forward_force;power;soc;battery_temp;dissipated_power;motor_current;drag_force;rolling_resistance;incline_force;motor_torque;motor_rpm
47.583114;12.170826;494.888597;0.000000;28.699681;0.000000;7.652288;0.055998;-0.011832;17.273586;132.182453;1.000000;28.699681;0.000000;0.000000;18.155544;3.923725;-9.285496;0.000000;213.105765
47.582910;12.170766;494.888597;2.478000;28.854153;23.125851;7.573604;0.053083;-0.012675;15.997975;121.162329;1.000000;28.699681;0.000000;0.000000;17.775003;3.923685;-9.947336;0.000000;210.914534
47.582820;12.170733;494.888597;3.613000;28.699147;33.434931;7.510966;0.059117;-0.013342;15.673884;117.726019;1.000000;28.700557;0.000000;0.000000;17.491178;3.923651;-10.470339;0.000000;209.170153
47.582361;12.170592;494.888597;8.993000;29.926139;85.557556;7.482959;0.062372;-0.013840;15.342576;114.807865;1.000000;28.700519;0.000000;0.000000;17.290690;3.923624;-10.861533;0.000000;208.390176
47.582040;12.170486;494.421468;12.593000;28.993251;122.125864;7.811450;0.065328;-0.014268;16.854300;131.656528;1.000000;28.722580;0.000000;0.000000;18.901321;3.923601;-11.196841;0.000000;217.538218
47.581810;12.170483;493.881502;16.155000;28.471145;147.701687;8.118886;0.060462;-0.014638;17.728175;143.933035;1.000000;28.727401;0.000000;0.000000;20.455069;3.923580;-11.487439;0.000000;226.099886
47.581595;12.170488;493.376709;19.506000;29.411272;171.611537;9.178970;0.052756;-0.014962;22.468108;206.234098;1.000000;28.723108;0.000000;0.000000;26.065781;3.923561;-11.741711;0.000000;255.621790
47.581237;12.170422;492.529800;25.011000;28.389578;211.725946;9.329600;0.048491;-0.015248;22.859048;213.265781;1.000000;28.742049;0.000000;0.000000;27.022279;3.923544;-11.966068;0.000000;259.816620
47.580869;12.170301;491.644894;29.026000;29.104432;253.640069;9.457412;0.040778;-0.015502;22.725313;214.922652;1.000000;28.734973;0.000000;0.000000;27.705009;3.923529;-12.165495;0.000000;263.376014
47.580779;12.170241;491.413231;30.034000;28.020165;264.612964;9.557225;0.034519;-0.015729;22.736652;217.299307;1.000000;28.736836;0.000000;0.000000;28.395537;3.923515;-12.343931;0.000000;266.155665
47.580629;12.170168;491.042604;31.690000;28.335907;282.167962;9.596860;0.030162;-0.015483;22.789139;218.704171;1.000000;28.730901;0.000000;0.000000;28.602830;3.923530;-12.150220;0.000000;267.259440
47.580395;12.170073;490.484815;34.179000;29.098431;309.145643;9.909226;0.022637;-0.015876;23.695837;234.807399;1.000000;28.725986;0.000000;0.000000;30.420206;3.923506;-12.458852;0.000000;275.958403
47.580167;12.169957;489.953426;36.766000;29.369233;335.949580;10.171632;0.015112;-0.016269;24.390936;248.095627;1.000000;28.730803;0.000000;0.000000;32.026002;3.923481;-12.767484;0.000000;283.266059
